wind,max_temp,min_temp,solar_r,humidity,discharge,rain,water_level
0.5833,22.0667,22.0667,16.0203,0.79,90.8,1.0333,515.87
0.6667,22.4667,22.4667,16.2813,0.7867,97.3667,1.0333,515.9133
0.5,22.0333,22.0333,18.0173,0.7833,102.4333,0.0,515.9467
0.25,22.2333,22.2333,20.9997,0.76,99.9333,0.0,515.93
0.25,22.0667,22.0667,19.713,0.78,92.8667,3.7667,515.8833
0.5,22.7,22.7,19.4897,0.7933,87.8,3.7667,515.85
0.6667,23.2333,23.2333,18.2563,0.8067,86.3667,3.7667,515.84
0.5833,23.0,23.0,15.01,0.8033,84.7,0.0,515.8267
0.5833,22.0,22.0,10.6687,0.84,85.0,17.4667,515.8267
0.6667,21.6667,21.6667,10.5033,0.85,177.8333,18.5333,516.2333
0.6667,22.3,22.3,14.5513,0.84,206.2333,18.5333,516.3967
0.5833,23.1,23.1,17.765,0.79,216.6667,1.0667,516.4633
0.4167,23.0667,23.0667,17.9093,0.76,136.6667,0.0,516.14
0.3333,22.5667,22.5667,14.6107,0.7667,114.3333,0.0,516.02
0.1667,22.6,22.6,15.364,0.7467,117.6667,0.0,516.04
0.0833,22.2333,22.2333,16.8123,0.7533,122.3333,0.0,516.0633
0.1667,22.2,22.2,19.699,0.7533,126.3333,0.0,516.0867
0.3333,22.0333,22.0333,19.238,0.7733,119.0,0.0,516.0433
0.5,22.3667,22.3667,18.4743,0.7933,107.6667,0.0,515.98
0.5,22.5333,22.5333,18.9683,0.7867,104.6667,0.0,515.9633
1.25,22.5667,22.5667,19.723,0.7867,101.2,0.0,515.94
2.0,22.3333,22.3333,19.831,0.78,98.2,0.0,515.92
2.6667,22.2667,22.2667,17.3977,0.7867,93.0667,0.0,515.8833
2.5833,22.3333,22.3333,17.6797,0.78,90.0667,0.0,515.8633
2.3333,22.3667,22.3667,18.351,0.7733,87.8667,0.0,515.8467
2.1667,22.2667,22.2667,20.919,0.7467,86.1667,0.0,515.8367
2.1667,21.6,21.6,20.26,0.7433,83.9667,0.0,515.8233
2.3333,20.7667,20.7667,19.6033,0.75,83.4667,0.0,515.82
2.25,20.0667,20.0667,16.6737,0.7567,82.9667,0.0,515.8167
2.0,18.5667,18.5667,17.1373,0.7667,83.9333,0.0,515.8233
1.8333,18.0667,18.0667,17.6453,0.76,82.9667,0.0,515.8167
1.9167,17.5333,17.5333,17.256,0.78,82.9667,0.0,515.8167
1.8333,18.5,18.5,17.2527,0.78,82.0,0.0,515.81
1.6667,19.1,19.1,14.3777,0.8,81.5333,0.0,515.8067
1.5833,20.3,20.3,14.6783,0.7667,87.5,0.0,515.8467
1.6667,20.8,20.8,13.179,0.73,94.5,0.0,515.8933
2.0833,20.1333,20.1333,15.971,0.6933,99.9,0.0,515.93
2.4167,18.7333,18.7333,18.7223,0.7033,95.8667,0.0,515.9033
2.25,17.2667,17.2667,20.2747,0.7333,88.8667,0.0,515.8567
1.75,17.1333,17.1333,20.3273,0.76,83.9333,0.0,515.8233
2.0833,17.8,17.8,19.9517,0.7633,81.5333,0.0,515.8067
2.9167,18.5333,18.5333,19.664,0.77,80.6,0.0,515.8
2.75,19.1667,19.1667,19.55,0.76,79.6667,0.0,515.7933
1.75,19.7333,19.7333,19.738,0.78,78.2333,0.0,515.7833
0.9167,20.7,20.7,16.78,0.78,76.8,0.0,515.7733
1.0833,21.3,21.3,15.3313,0.76,74.3333,0.0,515.76
1.25,20.6667,20.6667,15.9133,0.73,72.8333,0.0,515.7533
1.25,19.7333,19.7333,19.3447,0.7233,71.3,0.0,515.7467
1.3333,18.9333,18.9333,20.448,0.74,70.3,0.0,515.74
1.4167,18.4,18.4,20.346,0.7533,68.8,0.0,515.73
1.5833,18.0667,18.0667,20.2887,0.7433,67.8,0.0,515.7233
1.6667,17.9333,17.9333,20.709,0.73,67.8,0.0,515.7233
1.25,18.1667,18.1667,20.524,0.7067,67.8,0.0,515.7233
0.75,18.2,18.2,20.515,0.7033,67.3,0.0,515.72
0.25,18.5,18.5,20.5063,0.6967,65.8,0.0,515.71
